dataset,size,key,elapsed,delta
ZKW,4,dynamic_weight,0.0299224853515625,0.0
ZKC,20,solve_ftapas_50,0.022037744522094727,54.0
NK,27,solve_ftapas_50,0.0536189079284668,0.0
ZKC,22,dynamic_cost,0.040082454681396484,0.0
NK,20,greedy_redux,6.604194641113281e-05,937.0
ZKC,15,solve_ftapas_30,0.017250776290893555,24.0
ZKC,20,greedy_simple,5.316734313964844e-05,0.0
NK,15,dynamic_cost,0.10783171653747559,0.0
ZKC,20,solve_ftapas_70,0.023256301879882812,0.0
ZKC,15,greedy_simple,4.696846008300781e-05,253.0
ZKW,20,solve_ftapas_15,0.06756925582885742,0.0
ZKC,4,dynamic_weight,0.021250009536743164,0.0
ZKC,20,dynamic_cost,0.02866673469543457,0.0
NK,20,greedy_redux,6.604194641113281e-05,0.0
ZKW,10,solve_ftapas_70,0.0013895034790039062,0.0
NK,10,solve_ftapas_70,0.002036571502685547,0.0
ZKC,15,branch_bound,0.0803232192993164,0.0
NK,22,solve_ftapas_15,0.08513903617858887,0.0
NK,15,branch_bound,0.009967803955078125,0.0
NK,15,solve_ftapas_50,0.008728504180908203,446.0
ZKW,10,solve_ftapas_15,0.009453535079956055,0.0
ZKW,4,solve_ftapas_50,0.0002598762512207031,8025.0
NK,20,greedy_simple,6.914138793945312e-05,102.0
ZKW,10,branch_bound,0.0013980865478515625,0.0
ZKC,27,solve_ftapas_70,0.04176974296569824,66.0
ZKC,15,dynamic_weight,0.416748046875,0.0
ZKW,4,branch_bound,0.0009961128234863281,0.0
ZKC,22,solve_ftapas_30,0.048015594482421875,9.0
ZKC,15,greedy_redux,5.984306335449219e-05,1287.0
ZKC,15,solve_ftapas_30,0.017279624938964844,0.0
ZKC,4,dynamic_weight,0.015789508819580078,0.0
ZKW,4,solve_ftapas_30,0.0004448890686035156,0.0
ZKC,25,solve_ftapas_50,0.04598569869995117,0.0
NK,4,greedy_simple,5.53131103515625e-05,0.0
ZKC,25,solve_ftapas_70,0.03378868103027344,54.0
ZKC,25,solve_ftapas_30,0.0792238712310791,16.0
ZKC,20,solve_ftapas_50,0.01978135108947754,34.0
NK,20,dynamic_weight,1.1406054496765137,0.0
NK,22,solve_ftapas_30,0.04501008987426758,0.0
ZKC,20,greedy_redux,5.8650970458984375e-05,453.0
NK,15,greedy_redux,5.91278076171875e-05,0.0
ZKC,4,greedy_simple,2.193450927734375e-05,1360.0
ZKC,10,solve_ftapas_50,0.0027043819427490234,11.0
ZKC,25,greedy_redux,7.62939453125e-05,997.0
ZKC,20,solve_ftapas_30,0.03861427307128906,1.0
ZKW,10,solve_ftapas_15,0.006684780120849609,0.0
NK,25,solve_ftapas_50,0.04271054267883301,0.0
ZKW,27,greedy_simple,5.3882598876953125e-05,993.0
NK,15,solve_ftapas_70,0.011195182800292969,105.0
ZKC,4,solve_ftapas_30,0.0011143684387207031,0.0
ZKC,20,solve_ftapas_70,0.018250465393066406,12.0
ZKC,22,dynamic_weight,1.133601427078247,0.0
NK,22,dynamic_cost,0.03167223930358887,0.0
ZKC,15,greedy_simple,3.528594970703125e-05,276.0
NK,20,dynamic_weight,1.0313029289245605,0.0
NK,22,dynamic_weight,1.0769267082214355,0.0
ZKW,15,greedy_redux,9.560585021972656e-05,0.0
ZKC,25,greedy_redux,6.723403930664062e-05,964.0
NK,27,dynamic_cost,0.09387087821960449,0.0
ZKW,4,dynamic_weight,0.037017107009887695,0.0
NK,27,dynamic_cost,0.04032611846923828,0.0
NK,10,greedy_redux,4.291534423828125e-05,0.0
NK,10,greedy_simple,3.600120544433594e-05,293.0
ZKC,22,dynamic_weight,1.072411060333252,0.0
ZKW,10,solve_ftapas_15,0.004496335983276367,0.0
NK,20,solve_ftapas_15,0.029974699020385742,0.0
ZKC,25,solve_ftapas_50,0.045186519622802734,37.0
ZKW,15,solve_ftapas_70,0.002521991729736328,0.0
ZKW,20,dynamic_weight,1.3729329109191895,0.0
NK,10,branch_bound,0.0013484954833984375,0.0
NK,27,dynamic_weight,1.2287256717681885,0.0
ZKC,22,solve_ftapas_50,0.014735698699951172,16.0
NK,25,solve_ftapas_30,0.07022714614868164,0.0
NK,20,solve_ftapas_30,0.03711891174316406,0.0
ZKC,10,greedy_redux,4.601478576660156e-05,823.0
NK,20,solve_ftapas_50,0.021872520446777344,168.0
ZKC,27,solve_ftapas_30,0.10253024101257324,12.0
NK,15,dynamic_cost,0.0023145675659179688,0.0
NK,20,dynamic_weight,0.8879561424255371,0.0
ZKC,27,solve_ftapas_30,0.07405519485473633,9.0
ZKC,10,solve_ftapas_30,0.004530191421508789,39.0
ZKC,10,greedy_redux,2.86102294921875e-05,1222.0
ZKW,4,greedy_simple,2.956390380859375e-05,2970.0
ZKW,4,solve_ftapas_70,0.0001842975616455078,2047.0
ZKC,27,dynamic_cost,0.07671165466308594,0.0
NK,20,dynamic_cost,0.028323650360107422,0.0
ZKC,4,solve_ftapas_70,0.0002751350402832031,293.0
NK,15,solve_ftapas_30,0.014577627182006836,0.0
ZKW,4,solve_ftapas_15,0.00044727325439453125,1782.0
NK,10,greedy_simple,2.9087066650390625e-05,0.0
ZKC,22,solve_ftapas_15,0.04984736442565918,0.0
ZKC,22,greedy_simple,5.245208740234375e-05,851.0
NK,4,solve_ftapas_15,0.0004343986511230469,0.0
ZKC,15,solve_ftapas_30,0.016988515853881836,8.0
ZKC,15,solve_ftapas_70,0.004952669143676758,78.0
ZKW,4,solve_ftapas_50,0.0002684593200683594,36518.0
ZKW,25,dynamic_cost,0.00011014938354492188,0.0
ZKW,4,solve_ftapas_50,0.0002722740173339844,0.0
NK,15,dynamic_weight,0.5955243110656738,0.0
NK,4,greedy_redux,2.5033950805664062e-05,0.0
ZKW,4,solve_ftapas_50,0.00035452842712402344,0.0
NK,27,solve_ftapas_50,0.04617762565612793,0.0
ZKW,4,dynamic_cost,4.363059997558594e-05,0.0
ZKW,10,branch_bound,0.00038433074951171875,0.0
NK,22,solve_ftapas_50,0.02232980728149414,0.0
ZKW,4,solve_ftapas_70,0.00034618377685546875,0.0
NK,4,solve_ftapas_70,0.00024366378784179688,0.0
NK,4,solve_ftapas_50,0.00035572052001953125,0.0
ZKC,22,solve_ftapas_50,0.03235054016113281,84.0
ZKW,4,solve_ftapas_50,0.0002932548522949219,1370.0
ZKC,10,solve_ftapas_15,0.0074656009674072266,0.0
NK,4,solve_ftapas_70,0.0003662109375,0.0
NK,25,solve_ftapas_30,0.05752086639404297,0.0
NK,4,solve_ftapas_30,0.004770517349243164,0.0
ZKC,10,solve_ftapas_50,0.003177165985107422,0.0
ZKW,4,dynamic_cost,2.8848648071289062e-05,0.0
ZKC,27,solve_ftapas_15,0.18884992599487305,19.0
ZKW,4,solve_ftapas_70,0.0002868175506591797,0.0
ZKW,10,solve_ftapas_70,0.0008895397186279297,0.0
ZKC,15,branch_bound,0.09968137741088867,0.0
NK,25,solve_ftapas_30,0.06907010078430176,0.0
NK,20,solve_ftapas_15,0.06905174255371094,0.0
NK,15,solve_ftapas_50,0.009146690368652344,0.0
ZKW,27,solve_ftapas_70,0.016891002655029297,0.0
NK,25,solve_ftapas_70,0.024889469146728516,0.0
NK,25,dynamic_weight,1.2432372570037842,0.0
NK,25,branch_bound,0.004533052444458008,0.0
NK,4,branch_bound,8.153915405273438e-05,0.0
NK,20,solve_ftapas_30,0.03382611274719238,0.0
ZKC,25,greedy_simple,5.936622619628906e-05,1076.0
ZKC,20,solve_ftapas_70,0.01495671272277832,50.0
ZKC,22,dynamic_weight,1.1491971015930176,0.0
NK,15,solve_ftapas_50,0.00807499885559082,262.0
NK,10,solve_ftapas_50,0.0021376609802246094,0.0
ZKW,4,greedy_redux,2.8371810913085938e-05,0.0
ZKC,15,solve_ftapas_15,0.027800321578979492,6.0
ZKC,15,solve_ftapas_70,0.0062999725341796875,95.0
NK,25,greedy_simple,5.245208740234375e-05,0.0
ZKW,4,greedy_redux,9.679794311523438e-05,0.0
NK,15,solve_ftapas_30,0.012248754501342773,0.0
NK,4,dynamic_cost,1.9788742065429688e-05,0.0
ZKC,20,dynamic_cost,0.025223493576049805,0.0
ZKC,27,dynamic_weight,1.4947190284729004,0.0
NK,20,dynamic_weight,1.0203680992126465,0.0
ZKW,10,solve_ftapas_30,0.0019769668579101562,0.0
ZKC,22,solve_ftapas_15,0.1063232421875,18.0
NK,4,solve_ftapas_50,0.0004067420959472656,0.0
NK,22,solve_ftapas_70,0.021433353424072266,0.0
ZKC,20,greedy_simple,5.0067901611328125e-05,1450.0
ZKC,25,greedy_redux,7.200241088867188e-05,489.0
ZKC,27,dynamic_cost,0.06132960319519043,0.0
ZKW,4,solve_ftapas_30,0.000431060791015625,0.0
ZKC,10,greedy_simple,3.266334533691406e-05,74.0
ZKC,20,greedy_redux,5.888938903808594e-05,1680.0
ZKC,15,solve_ftapas_70,0.007839679718017578,76.0
NK,4,branch_bound,0.00013446807861328125,0.0
NK,10,branch_bound,0.002810955047607422,0.0
NK,27,solve_ftapas_30,0.09143519401550293,0.0
NK,15,dynamic_cost,0.01296234130859375,0.0
ZKC,27,solve_ftapas_50,0.0493311882019043,11.0
NK,10,solve_ftapas_30,0.0037415027618408203,0.0
ZKC,27,dynamic_weight,2.4784178733825684,0.0
ZKC,10,greedy_redux,4.291534423828125e-05,643.0
NK,22,greedy_redux,5.745887756347656e-05,0.0
ZKC,15,solve_ftapas_50,0.009028434753417969,10.0
NK,15,branch_bound,0.0026607513427734375,0.0
ZKC,4,dynamic_cost,4.3392181396484375e-05,0.0
NK,22,solve_ftapas_50,0.03458571434020996,0.0
ZKC,10,solve_ftapas_15,0.008517026901245117,0.0
NK,25,solve_ftapas_50,0.04261469841003418,0.0
ZKW,4,dynamic_cost,2.956390380859375e-05,0.0
NK,22,branch_bound,0.7568209171295166,0.0
NK,15,dynamic_weight,0.31594228744506836,0.0
ZKC,10,solve_ftapas_15,0.0062563419342041016,0.0
ZKC,20,dynamic_weight,1.1688206195831299,0.0
NK,22,greedy_simple,4.601478576660156e-05,65.0
ZKC,27,greedy_redux,7.724761962890625e-05,1475.0
ZKC,15,solve_ftapas_50,0.008335351943969727,0.0
ZKW,10,solve_ftapas_70,0.0017917156219482422,0.0
ZKW,10,dynamic_weight,0.18988847732543945,0.0
ZKW,4,solve_ftapas_70,0.0001838207244873047,0.0
ZKW,4,solve_ftapas_30,0.0004649162292480469,0.0
NK,4,branch_bound,0.00015425682067871094,0.0
ZKC,22,greedy_redux,8.58306884765625e-05,510.0
NK,10,solve_ftapas_70,0.001949310302734375,59.0
NK,15,solve_ftapas_30,0.01475834846496582,0.0
ZKC,10,branch_bound,0.0035805702209472656,0.0
ZKC,4,dynamic_weight,0.03405284881591797,0.0
ZKC,10,solve_ftapas_70,0.0020134449005126953,246.0
NK,27,solve_ftapas_15,0.08756470680236816,0.0
ZKC,22,greedy_redux,7.510185241699219e-05,1121.0
ZKC,27,solve_ftapas_30,0.06694936752319336,16.0
NK,4,dynamic_weight,0.0345003604888916,0.0
NK,4,solve_ftapas_70,0.0002620220184326172,1498.0
ZKC,4,solve_ftapas_70,0.0004911422729492188,0.0
NK,25,dynamic_weight,1.0240890979766846,0.0
NK,15,solve_ftapas_70,0.004415988922119141,0.0
NK,25,solve_ftapas_50,0.03381800651550293,30.0
NK,27,branch_bound,0.10148811340332031,0.0
NK,15,greedy_simple,3.3855438232421875e-05,0.0
ZKC,27,dynamic_cost,0.0790715217590332,0.0
ZKC,15,dynamic_cost,0.014708280563354492,0.0
NK,27,dynamic_weight,2.049311637878418,0.0
NK,27,greedy_redux,9.751319885253906e-05,0.0
ZKW,10,solve_ftapas_50,0.0016732215881347656,0.0
NK,25,solve_ftapas_30,0.05367779731750488,0.0
NK,27,solve_ftapas_50,0.05220508575439453,0.0
ZKW,10,solve_ftapas_70,0.001580953598022461,0.0
NK,15,greedy_simple,4.935264587402344e-05,824.0
ZKW,27,greedy_redux,8.821487426757812e-05,0.0
NK,4,dynamic_cost,6.914138793945312e-05,0.0
ZKC,22,branch_bound,3.6484148502349854,0.0
ZKW,15,solve_ftapas_15,0.015764236450195312,0.0
NK,25,solve_ftapas_50,0.053305864334106445,0.0
NK,27,solve_ftapas_50,0.027659893035888672,0.0
ZKC,4,solve_ftapas_50,0.00033545494079589844,0.0
ZKW,22,solve_ftapas_70,0.01201009750366211,0.0
ZKW,4,greedy_simple,1.6450881958007812e-05,580.0
ZKW,10,solve_ftapas_30,0.002420186996459961,0.0
NK,10,solve_ftapas_70,0.002608060836791992,0.0
ZKC,27,solve_ftapas_15,0.13518857955932617,4.0
ZKW,20,dynamic_weight,1.163027048110962,0.0
ZKC,22,solve_ftapas_15,0.0656740665435791,0.0
ZKW,4,dynamic_weight,0.04670834541320801,0.0
ZKC,20,dynamic_weight,1.134988784790039,0.0
ZKC,10,solve_ftapas_50,0.0027539730072021484,0.0
NK,15,greedy_simple,5.340576171875e-05,0.0
ZKC,4,solve_ftapas_30,0.0004353523254394531,0.0
ZKW,10,solve_ftapas_70,0.0009779930114746094,221.0
NK,22,dynamic_weight,1.4044849872589111,0.0
NK,10,greedy_simple,3.3855438232421875e-05,385.0
