batch_size,mutation_rate,problem_path,init_type,fitness_type,solved_time
640,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0165.mwcnf,uniform,sum_or_nothing,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0744.mwcnf,uniform,sum_or_nothing,
5,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0115.mwcnf,uniform,correct_count,
160,0.01,data/wuf-N1/wuf50-201-N1/wuf50-045.mwcnf,uniform,correct_count,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0111.mwcnf,uniform,correct_count,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0741.mwcnf,uniform,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0707.mwcnf,allfalse,sum_or_nothing,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0580.mwcnf,allfalse,correct_count,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0328.mwcnf,uniform,correct_count,
40,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0368.mwcnf,uniform,sum_or_nothing,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0166.mwcnf,uniform,correct_count,
640,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0276.mwcnf,uniform,sum_or_nothing,
5,0.02,data/wuf-N1/wuf50-201-N1/wuf50-024.mwcnf,uniform,sum_or_nothing,
1280,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,allfalse,sum_or_nothing,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0143.mwcnf,allfalse,correct_count,
1280,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0276.mwcnf,uniform,sum_or_nothing,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0466.mwcnf,uniform,sum_or_nothing,
5,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0433.mwcnf,uniform,correct_count,
160,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0998.mwcnf,allfalse,correct_count,
320,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0833.mwcnf,allfalse,correct_count,
1280,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0337.mwcnf,allfalse,sum_or_nothing,
80,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0551.mwcnf,uniform,sum_or_nothing,
1280,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,uniform,correct_count,
20,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0873.mwcnf,allfalse,sum_or_nothing,
5,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,uniform,correct_count,
80,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0433.mwcnf,uniform,correct_count,1.9603512287139893
5,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0970.mwcnf,uniform,correct_count,
320,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0483.mwcnf,uniform,correct_count,
20,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0353.mwcnf,allfalse,correct_count,
640,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0840.mwcnf,allfalse,sum_or_nothing,
80,0.0,data/wuf-N1/wuf50-201-N1/wuf50-045.mwcnf,allfalse,sum_or_nothing,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-04.mwcnf,uniform,correct_count,
80,0.04,data/wuf-N1/wuf50-201-N1/wuf50-04.mwcnf,uniform,correct_count,
20,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0496.mwcnf,uniform,correct_count,
5,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0940.mwcnf,uniform,correct_count,
10,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,allfalse,correct_count,
160,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0199.mwcnf,allfalse,correct_count,
20,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0968.mwcnf,uniform,correct_count,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0873.mwcnf,allfalse,correct_count,
320,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0634.mwcnf,allfalse,sum_or_nothing,
320,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0509.mwcnf,allfalse,correct_count,
160,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0744.mwcnf,allfalse,sum_or_nothing,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0194.mwcnf,allfalse,correct_count,
10,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0559.mwcnf,uniform,sum_or_nothing,
1280,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0575.mwcnf,uniform,correct_count,
320,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0201.mwcnf,allfalse,correct_count,
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0575.mwcnf,uniform,correct_count,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0668.mwcnf,allfalse,correct_count,
160,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0483.mwcnf,allfalse,sum_or_nothing,
1280,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0588.mwcnf,allfalse,sum_or_nothing,
80,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0201.mwcnf,uniform,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0293.mwcnf,uniform,correct_count,
10,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0604.mwcnf,allfalse,sum_or_nothing,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-05.mwcnf,allfalse,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,allfalse,sum_or_nothing,
40,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0580.mwcnf,allfalse,correct_count,
640,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0115.mwcnf,uniform,correct_count,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0111.mwcnf,allfalse,sum_or_nothing,
10,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0399.mwcnf,uniform,correct_count,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0731.mwcnf,uniform,correct_count,
320,0.01,data/wuf-N1/wuf50-201-N1/wuf50-042.mwcnf,allfalse,correct_count,
320,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,uniform,sum_or_nothing,
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0634.mwcnf,allfalse,sum_or_nothing,
20,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,allfalse,sum_or_nothing,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,uniform,correct_count,
10,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,allfalse,correct_count,
