target,best_score,batch_size,mutation_rate
47488,43707,10,0.32
50757,44427,10,0.32
40704,36206,10,0.32
45571,39234,10,0.32
18186,11406,10,0.32
41596,35513,10,0.32
55841,51783,10,0.32
31840,27762,10,0.32
43131,38165,10,0.32
38758,33982,10,0.32
43208,41427,10,0.32
50742,48745,10,0.32
45119,40876,10,0.32
53207,50045,10,0.32
39321,34220,10,0.32
46883,46350,10,0.32
33666,30137,10,0.32
50603,47406,10,0.32
43343,39387,10,0.32
18007,12964,10,0.32
52258,48400,10,0.32
27772,25562,10,0.32
55122,50517,10,0.32
51393,48285,10,0.32
56332,55353,10,0.32
19901,12596,10,0.32
53330,47825,10,0.32
15470,11338,10,0.32
34572,32056,10,0.32
25628,23230,10,0.32
38667,34211,20,0.0
44321,36808,20,0.0
48073,46089,20,0.0
49784,49671,20,0.0
35770,31463,20,0.0
45176,40376,20,0.0
50428,46060,20,0.0
47153,47087,20,0.0
39180,32955,20,0.0
41567,38577,20,0.0
13813,9679,20,0.0
33621,24446,20,0.0
43182,36934,20,0.0
45967,43245,20,0.0
46847,44207,20,0.0
43222,38477,20,0.0
59121,56302,20,0.0
25679,20590,20,0.0
43413,42283,20,0.0
37444,34618,20,0.0
47488,46198,20,0.0
50757,46846,20,0.0
40704,37059,20,0.0
45571,38964,20,0.0
18186,12310,20,0.0
41596,38752,20,0.0
55841,55502,20,0.0
31840,28283,20,0.0
43131,40898,20,0.0
43208,42104,20,0.0
50742,50359,20,0.0
38758,34090,20,0.0
53207,51434,20,0.0
45119,43165,20,0.0
39321,34816,20,0.0
33666,29275,20,0.0
46883,46883,20,0.0
43343,41170,20,0.0
50603,48709,20,0.0
18007,11089,20,0.0
52258,51508,20,0.0
27772,25446,20,0.0
55122,53048,20,0.0
51393,50066,20,0.0
56332,56332,20,0.0
19901,13593,20,0.0
53330,51795,20,0.0
15470,11702,20,0.0
34572,31766,20,0.0
25628,21213,20,0.0
38667,38438,20,0.01
44321,43668,20,0.01
48073,47929,20,0.01
49784,49784,20,0.01
35770,35770,20,0.01
45176,44554,20,0.01
50428,50428,20,0.01
47153,47153,20,0.01
39180,38911,20,0.01
41567,41305,20,0.01
13813,13582,20,0.01
33621,33621,20,0.01
43182,43089,20,0.01
45967,45810,20,0.01
43222,43222,20,0.01
46847,46847,20,0.01
59121,59121,20,0.01
25679,24481,20,0.01
43413,43384,20,0.01
37444,36741,20,0.01
47488,47488,20,0.01
50757,50355,20,0.01
40704,40207,20,0.01
45571,45476,20,0.01
18186,16524,20,0.01
41596,41166,20,0.01
55841,55823,20,0.01
31840,31651,20,0.01
43131,42752,20,0.01
38758,37172,20,0.01
43208,42974,20,0.01
50742,50742,20,0.01
53207,53207,20,0.01
45119,44948,20,0.01
39321,39219,20,0.01
46883,46883,20,0.01
33666,32812,20,0.01
50603,50225,20,0.01
43343,43343,20,0.01
18007,18007,20,0.01
52258,52258,20,0.01
27772,27399,20,0.01
55122,55004,20,0.01
51393,51190,20,0.01
56332,56332,20,0.01
19901,19613,20,0.01
53330,53023,20,0.01
15470,14466,20,0.01
34572,34056,20,0.01
25628,24976,20,0.01
38667,38667,20,0.02
44321,44065,20,0.02
48073,48060,20,0.02
49784,49784,20,0.02
35770,35770,20,0.02
45176,45176,20,0.02
50428,50428,20,0.02
47153,47153,20,0.02
39180,39180,20,0.02
41567,41567,20,0.02
13813,13680,20,0.02
33621,33154,20,0.02
43182,43182,20,0.02
45967,45967,20,0.02
43222,43095,20,0.02
46847,46847,20,0.02
59121,59121,20,0.02
25679,25404,20,0.02
43413,43413,20,0.02
37444,37242,20,0.02
47488,47488,20,0.02
50757,50757,20,0.02
40704,40633,20,0.02
45571,45571,20,0.02
18186,18186,20,0.02
41596,41095,20,0.02
55841,55841,20,0.02
31840,31632,20,0.02
38758,38515,20,0.02
43131,43017,20,0.02
43208,43208,20,0.02
50742,50742,20,0.02
45119,45119,20,0.02
53207,53207,20,0.02
39321,39253,20,0.02
46883,46883,20,0.02
50603,50603,20,0.02
18007,17826,20,0.02
43343,43343,20,0.02
33666,33561,20,0.02
52258,52258,20,0.02
27772,27512,20,0.02
55122,55122,20,0.02
51393,51393,20,0.02
19901,19643,20,0.02
56332,56332,20,0.02
53330,53330,20,0.02
15470,15470,20,0.02
34572,34523,20,0.02
25628,25505,20,0.02
38667,37450,20,0.04
44321,42979,20,0.04
48073,47910,20,0.04
49784,49671,20,0.04
35770,34551,20,0.04
45176,44489,20,0.04
50428,50083,20,0.04
47153,47118,20,0.04
39180,37980,20,0.04
41567,40928,20,0.04
13813,13813,20,0.04
33621,32617,20,0.04
43182,42214,20,0.04
45967,45463,20,0.04
43222,41794,20,0.04
46847,46185,20,0.04
59121,58227,20,0.04
25679,24493,20,0.04
43413,43205,20,0.04
37444,36909,20,0.04
47488,47009,20,0.04
50757,50757,20,0.04
40704,39239,20,0.04
45571,45043,20,0.04
18186,17958,20,0.04
41596,40397,20,0.04
55841,55651,20,0.04
31840,30957,20,0.04
43131,42598,20,0.04
38758,37679,20,0.04
43208,42946,20,0.04
50742,50447,20,0.04
45119,44632,20,0.04
53207,52951,20,0.04
39321,38323,20,0.04
46883,46883,20,0.04
33666,32588,20,0.04
50603,49815,20,0.04
43343,42577,20,0.04
18007,18007,20,0.04
52258,52004,20,0.04
27772,26425,20,0.04
51393,51214,20,0.04
55122,54824,20,0.04
56332,56132,20,0.04
19901,19643,20,0.04
53330,52952,20,0.04
15470,15310,20,0.04
34572,33790,20,0.04
25628,25310,20,0.04
38667,36957,20,0.08
44321,42758,20,0.08
48073,46125,20,0.08
49784,49323,20,0.08
35770,33595,20,0.08
45176,43353,20,0.08
47153,47118,20,0.08
50428,48102,20,0.08
39180,35962,20,0.08
41567,39438,20,0.08
13813,13813,20,0.08
33621,32224,20,0.08
43182,39232,20,0.08
45967,44024,20,0.08
43222,40569,20,0.08
46847,43953,20,0.08
59121,55019,20,0.08
25679,24119,20,0.08
43413,41637,20,0.08
37444,36033,20,0.08
50757,48689,20,0.08
47488,45966,20,0.08
40704,37432,20,0.08
45571,43543,20,0.08
18186,17839,20,0.08
55841,53697,20,0.08
41596,39045,20,0.08
31840,29685,20,0.08
43131,40744,20,0.08
38758,36069,20,0.08
43208,41719,20,0.08
50742,49605,20,0.08
45119,42908,20,0.08
53207,52543,20,0.08
39321,36121,20,0.08
46883,46750,20,0.08
33666,31182,20,0.08
50603,49004,20,0.08
43343,41637,20,0.08
18007,17826,20,0.08
52258,50931,20,0.08
27772,26551,20,0.08
55122,52702,20,0.08
51393,50088,20,0.08
56332,55351,20,0.08
19901,19901,20,0.08
15470,15470,20,0.08
53330,51264,20,0.08
34572,32789,20,0.08
25628,24910,20,0.08
38667,34443,20,0.16
