dataset,size,key,elapsed,delta,target_cost
ZKC,15,solve_ftapas_15,0.015638113021850586,1.0,12943
NK,27,greedy_redux,8.225440979003906e-05,0.0,29064
ZKC,20,dynamic_cost,0.02017378807067871,0.0,15403
ZKC,25,dynamic_weight,1.2333803176879883,0.0,23381
NK,22,solve_ftapas_50,0.017559528350830078,0.0,25069
ZKC,27,solve_ftapas_50,0.061014413833618164,17.0,24817
NK,22,solve_ftapas_30,0.03988242149353027,0.0,22853
ZKW,15,dynamic_weight,0.5267612934112549,0.0,4737
NK,25,solve_ftapas_15,0.12487530708312988,0.0,23961
NK,27,solve_ftapas_15,0.17029595375061035,0.0,17807
NK,20,solve_ftapas_50,0.02121901512145996,0.0,14012
ZKC,20,solve_ftapas_70,0.01522374153137207,18.0,17242
ZKC,4,greedy_redux,2.5987625122070312e-05,1455.0,4228
NK,27,solve_ftapas_30,0.0912468433380127,0.0,21033
ZKC,27,solve_ftapas_70,0.03902029991149902,27.0,22900
NK,15,dynamic_cost,0.008538961410522461,0.0,13565
NK,20,solve_ftapas_50,0.020624160766601562,0.0,20725
NK,10,greedy_simple,3.647804260253906e-05,0.0,13477
ZKC,22,greedy_redux,6.461143493652344e-05,1181.0,19003
ZKC,27,greedy_redux,6.556510925292969e-05,845.0,22810
ZKC,4,dynamic_cost,4.506111145019531e-05,0.0,3696
ZKC,27,solve_ftapas_30,0.09552288055419922,0.0,25950
ZKC,27,dynamic_weight,1.5838627815246582,0.0,24348
ZKW,10,greedy_simple,3.0994415283203125e-05,0.0,9314
ZKW,4,solve_ftapas_30,0.0003643035888671875,0.0,13334
ZKW,4,solve_ftapas_15,0.0005779266357421875,0.0,2577
NK,22,branch_bound,0.05547022819519043,0.0,21602
ZKC,25,greedy_redux,6.437301635742188e-05,1161.0,19635
ZKC,4,greedy_redux,4.291534423828125e-05,0.0,4424
ZKC,22,solve_ftapas_30,0.04828357696533203,38.0,17986
ZKC,27,greedy_simple,6.222724914550781e-05,1167.0,27040
ZKC,25,solve_ftapas_15,0.15566039085388184,18.0,22126
ZKW,27,solve_ftapas_30,0.03872799873352051,0.0,5768
ZKW,4,greedy_simple,3.695487976074219e-05,179.0,5601
NK,22,solve_ftapas_50,0.03082585334777832,15.0,26558
NK,22,solve_ftapas_30,0.049922943115234375,0.0,25964
ZKC,4,dynamic_weight,0.023389339447021484,0.0,1925
NK,10,solve_ftapas_15,0.00813603401184082,0.0,7426
ZKC,15,dynamic_weight,0.44606804847717285,0.0,13152
ZKC,22,solve_ftapas_15,0.0719914436340332,13.0,19917
NK,4,branch_bound,0.00013518333435058594,0.0,5771
ZKC,25,dynamic_cost,0.13406944274902344,0.0,21973
NK,27,dynamic_weight,1.9571905136108398,0.0,33434
ZKC,15,dynamic_weight,0.33538246154785156,0.0,13642
NK,10,dynamic_cost,0.002424955368041992,0.0,13642
NK,27,solve_ftapas_30,0.08309531211853027,0.0,28568
ZKC,25,dynamic_weight,1.3162691593170166,0.0,27009
NK,4,solve_ftapas_50,0.00024366378784179688,0.0,1745
NK,20,dynamic_cost,0.031039953231811523,0.0,25381
NK,25,dynamic_cost,0.057077646255493164,0.0,28859
NK,20,solve_ftapas_70,0.013746976852416992,0.0,18985
ZKC,22,dynamic_cost,0.03515768051147461,0.0,16851
ZKW,4,solve_ftapas_30,0.0004181861877441406,0.0,2257
NK,10,branch_bound,0.0002422332763671875,0.0,14852
ZKW,4,greedy_simple,1.9311904907226562e-05,382.0,1483
NK,20,dynamic_cost,0.03789114952087402,0.0,23311
NK,27,branch_bound,0.8345949649810791,0.0,32109
ZKC,27,dynamic_weight,1.8114464282989502,0.0,26572
ZKW,4,greedy_simple,2.4080276489257812e-05,568.0,926
NK,15,dynamic_weight,0.2462623119354248,0.0,13310
NK,27,branch_bound,4.908389091491699,0.0,16966
NK,10,solve_ftapas_15,0.006367206573486328,0.0,6488
ZKC,15,solve_ftapas_30,0.016094446182250977,0.0,13015
ZKC,25,dynamic_weight,1.0491371154785156,0.0,23667
ZKC,4,greedy_redux,3.409385681152344e-05,1524.0,4714
ZKC,27,greedy_simple,5.936622619628906e-05,575.0,24116
ZKC,15,branch_bound,0.08339405059814453,0.0,15147
ZKC,25,dynamic_weight,1.6979725360870361,0.0,21370
NK,25,solve_ftapas_15,0.1464836597442627,6.0,22267
NK,4,greedy_redux,3.4809112548828125e-05,0.0,2268
ZKC,15,solve_ftapas_70,0.008751630783081055,0.0,13334
NK,22,solve_ftapas_70,0.02367377281188965,0.0,21034
NK,22,solve_ftapas_15,0.09505391120910645,0.0,27460
ZKW,4,greedy_redux,0.0002338886260986328,0.0,2495
ZKW,10,greedy_redux,7.581710815429688e-05,0.0,6355
NK,15,solve_ftapas_15,0.01491856575012207,0.0,6807
ZKW,4,solve_ftapas_70,0.00027251243591308594,0.0,4202
NK,22,solve_ftapas_15,0.07720112800598145,0.0,5372
NK,25,greedy_redux,5.6743621826171875e-05,347.0,5755
ZKW,4,greedy_simple,2.0503997802734375e-05,341.0,3186
ZKW,4,solve_ftapas_15,0.0005445480346679688,0.0,3398
NK,10,greedy_redux,5.698204040527344e-05,129.0,9903
ZKW,4,solve_ftapas_30,0.0003554821014404297,0.0,3927
ZKC,25,solve_ftapas_50,0.022997379302978516,37.0,23424
NK,27,solve_ftapas_50,0.053565025329589844,0.0,17080
ZKC,22,branch_bound,3.128932476043701,0.0,18881
NK,10,solve_ftapas_15,0.006578207015991211,0.0,9601
ZKC,4,greedy_simple,3.647804260253906e-05,0.0,3028
ZKC,15,greedy_simple,4.7206878662109375e-05,1413.0,13887
NK,22,greedy_simple,4.4345855712890625e-05,0.0,29281
ZKC,20,greedy_redux,5.626678466796875e-05,1401.0,15423
ZKC,20,greedy_simple,0.00011277198791503906,1521.0,16947
ZKW,4,solve_ftapas_30,0.0004220008850097656,0.0,1919
ZKC,4,branch_bound,0.00021266937255859375,0.0,3812
ZKC,4,greedy_simple,1.8596649169921875e-05,1137.0,4286
ZKC,20,dynamic_cost,0.15667414665222168,0.0,18639
ZKC,4,dynamic_cost,6.461143493652344e-05,0.0,2695
ZKW,4,solve_ftapas_70,0.0003414154052734375,0.0,5549
ZKW,4,greedy_simple,4.100799560546875e-05,204.0,1946
ZKW,4,solve_ftapas_70,0.00035881996154785156,0.0,5170
ZKC,15,dynamic_weight,0.41280031204223633,0.0,14153
ZKC,15,dynamic_cost,0.009656667709350586,0.0,11313
NK,15,greedy_simple,2.5510787963867188e-05,0.0,10538
ZKC,15,greedy_redux,4.744529724121094e-05,1406.0,13189
NK,10,greedy_redux,8.821487426757812e-05,0.0,7703
ZKW,10,solve_ftapas_30,0.0013964176177978516,0.0,4865
NK,20,solve_ftapas_30,0.025047779083251953,0.0,9458
NK,10,solve_ftapas_15,0.004725933074951172,0.0,11689
NK,27,solve_ftapas_70,0.026093244552612305,0.0,35545
NK,10,dynamic_weight,0.11729049682617188,0.0,6156
NK,25,branch_bound,0.00035762786865234375,0.0,28693
ZKC,10,dynamic_weight,0.250262975692749,0.0,9575
ZKC,4,branch_bound,0.00012159347534179688,0.0,3375
ZKC,4,solve_ftapas_50,0.0003597736358642578,0.0,2593
ZKC,4,dynamic_weight,0.020048141479492188,0.0,4187
ZKC,20,solve_ftapas_50,0.011783123016357422,21.0,18122
NK,10,solve_ftapas_50,0.00133514404296875,0.0,13030
NK,10,dynamic_weight,0.08400678634643555,0.0,9105
NK,20,solve_ftapas_70,0.014001131057739258,0.0,21659
ZKC,10,dynamic_weight,0.12132644653320312,0.0,8936
ZKC,10,solve_ftapas_70,0.0015652179718017578,0.0,10026
NK,4,dynamic_cost,7.271766662597656e-05,0.0,3429
ZKW,4,solve_ftapas_15,0.00035119056701660156,0.0,3813
ZKC,4,solve_ftapas_15,0.0006165504455566406,0.0,3424
ZKC,25,greedy_redux,7.152557373046875e-05,323.0,23124
NK,25,greedy_redux,7.033348083496094e-05,0.0,30076
ZKC,27,solve_ftapas_50,0.06473207473754883,0.0,28472
NK,4,branch_bound,0.00010609626770019531,0.0,924
NK,22,dynamic_cost,0.10258960723876953,0.0,26571
ZKC,20,solve_ftapas_30,0.015452861785888672,14.0,13566
NK,22,solve_ftapas_70,0.023764610290527344,0.0,32125
ZKC,25,solve_ftapas_30,0.037055253982543945,0.0,20552
ZKC,10,branch_bound,0.004060983657836914,0.0,7616
ZKC,15,greedy_simple,5.245208740234375e-05,940.0,12082
ZKC,15,solve_ftapas_70,0.009884119033813477,34.0,14220
ZKC,22,dynamic_weight,0.9201757907867432,0.0,23470
NK,25,solve_ftapas_70,0.029544591903686523,0.0,9132
ZKC,4,dynamic_cost,5.054473876953125e-05,0.0,3186
ZKC,27,dynamic_cost,0.1803569793701172,0.0,24502
ZKC,22,solve_ftapas_50,0.016031503677368164,0.0,18831
ZKC,20,solve_ftapas_70,0.017273902893066406,9.0,18663
ZKW,15,solve_ftapas_30,0.00817418098449707,0.0,3980
NK,22,dynamic_cost,0.05019044876098633,0.0,32125
NK,4,solve_ftapas_15,0.0006139278411865234,0.0,5562
ZKC,4,greedy_simple,1.9550323486328125e-05,0.0,1718
NK,4,dynamic_cost,3.1948089599609375e-05,0.0,3293
ZKW,15,dynamic_cost,0.0005898475646972656,0.0,7150
ZKC,10,greedy_simple,3.0517578125e-05,809.0,10297
ZKC,4,solve_ftapas_70,0.0003285408020019531,0.0,3929
ZKC,10,solve_ftapas_70,0.002131938934326172,116.0,9548
NK,25,solve_ftapas_70,0.028405189514160156,26.0,29978
ZKW,20,greedy_simple,4.1484832763671875e-05,0.0,9191
NK,25,greedy_redux,6.890296936035156e-05,669.0,26274
ZKW,4,greedy_redux,0.00016021728515625,0.0,2300
NK,27,branch_bound,0.011605024337768555,0.0,25212
ZKW,4,solve_ftapas_30,0.0003502368927001953,0.0,2877
NK,4,solve_ftapas_50,0.00044536590576171875,0.0,4939
ZKW,15,solve_ftapas_50,0.005228281021118164,0.0,4790
ZKC,25,solve_ftapas_70,0.022502899169921875,18.0,23387
ZKW,20,solve_ftapas_15,0.06892848014831543,0.0,2355
ZKW,4,dynamic_cost,3.337860107421875e-05,0.0,4289
NK,20,solve_ftapas_30,0.039144277572631836,0.0,27779
NK,27,greedy_simple,6.222724914550781e-05,0.0,3206
NK,22,solve_ftapas_50,0.01948857307434082,0.0,5144
ZKC,10,solve_ftapas_50,0.0030608177185058594,78.0,9904
NK,20,dynamic_cost,0.00037384033203125,0.0,7414
ZKC,15,dynamic_cost,0.010127782821655273,0.0,12468
ZKW,4,greedy_simple,2.9802322387695312e-05,1630.0,4882
ZKW,20,greedy_simple,4.649162292480469e-05,671.0,6629
ZKW,4,solve_ftapas_30,0.00037026405334472656,0.0,5047
NK,20,solve_ftapas_30,0.0293734073638916,0.0,8346
ZKC,4,dynamic_weight,0.030318737030029297,0.0,2759
ZKC,20,solve_ftapas_15,0.07222557067871094,0.0,18587
NK,15,solve_ftapas_30,0.013682842254638672,0.0,17045
