iid,dataset,size,key,elapsed,result,target
357,NK,15,solve_ftapas_15,0.030323028564453125,2015,2015
172,NK,20,solve_ftapas_15,0.0692741870880127,19832,19832
160,NK,27,solve_ftapas_15,0.14624905586242676,24586,24586
412,NK,15,solve_ftapas_15,0.030755996704101562,21921,21921
480,ZKC,4,solve_ftapas_15,0.0007510185241699219,3484,3508
293,ZKC,20,solve_ftapas_15,0.09240603446960449,19085,19085
367,ZKC,4,solve_ftapas_15,0.0007212162017822266,4393,4393
322,ZKC,4,solve_ftapas_15,0.0005948543548583984,3509,3556
386,ZKC,20,solve_ftapas_15,0.07863402366638184,17309,17309
430,NK,15,solve_ftapas_15,0.036138057708740234,17476,17476
125,ZKC,27,solve_ftapas_15,0.19868707656860352,24269,24269
350,NK,25,solve_ftapas_15,0.10559773445129395,19581,19581
48,NK,15,solve_ftapas_15,0.02864670753479004,5814,5814
466,ZKC,10,solve_ftapas_15,0.006374835968017578,7105,7105
305,NK,10,solve_ftapas_15,0.0067081451416015625,5502,5502
253,NK,20,solve_ftapas_15,0.07942080497741699,26409,26409
1480,ZKW,4,solve_ftapas_15,0.0005388259887695312,3197,3197
403,ZKC,25,solve_ftapas_15,0.15116477012634277,23065,23071
6,NK,4,solve_ftapas_15,0.0006620883941650391,1641,1641
385,NK,25,solve_ftapas_15,0.13141202926635742,24836,24836
457,ZKC,22,solve_ftapas_15,0.10006189346313477,19853,19853
707,ZKW,4,solve_ftapas_15,0.0005319118499755859,2035,2035
112,ZKC,15,solve_ftapas_15,0.03402090072631836,12691,12691
197,NK,4,solve_ftapas_15,0.0011360645294189453,6201,6201
322,ZKC,20,solve_ftapas_15,0.06777191162109375,14949,14958
90,NK,20,solve_ftapas_15,0.062335968017578125,18386,18386
1177,ZKW,20,solve_ftapas_15,0.06106114387512207,2296,2296
367,NK,22,solve_ftapas_15,0.1028909683227539,18627,18627
480,ZKC,15,solve_ftapas_15,0.03256797790527344,13965,13975
18,ZKC,25,solve_ftapas_15,0.14487767219543457,20333,20345
440,NK,22,solve_ftapas_15,0.10670161247253418,26910,26910
340,NK,20,solve_ftapas_15,0.07193493843078613,25798,25798
263,NK,22,solve_ftapas_15,0.0720062255859375,20983,20983
151,NK,15,solve_ftapas_15,0.031244993209838867,1427,1427
1625,ZKW,4,solve_ftapas_15,0.0005078315734863281,3669,3669
382,ZKC,20,solve_ftapas_15,0.07235908508300781,16611,16633
61,NK,4,solve_ftapas_15,0.0007250308990478516,0,0
142,ZKC,22,solve_ftapas_15,0.10588693618774414,18104,18109
134,NK,22,solve_ftapas_15,0.08768820762634277,15193,15193
244,NK,4,solve_ftapas_15,0.0006570816040039062,2500,2500
185,NK,25,solve_ftapas_15,0.1491849422454834,8118,8118
207,NK,27,solve_ftapas_15,0.18000006675720215,13245,13256
83,ZKC,22,solve_ftapas_15,0.10404396057128906,18908,18908
399,NK,4,solve_ftapas_15,0.0006289482116699219,3785,3785
92,NK,25,solve_ftapas_15,0.1432487964630127,28381,28381
332,NK,27,solve_ftapas_15,0.1655738353729248,12534,12534
1829,ZKW,4,solve_ftapas_15,0.0003058910369873047,2358,2358
215,NK,4,solve_ftapas_15,0.00023293495178222656,0,0
439,NK,22,solve_ftapas_15,0.08284473419189453,13101,13101
265,NK,22,solve_ftapas_15,0.10205698013305664,21178,21178
498,NK,25,solve_ftapas_15,0.17801809310913086,28628,28628
321,ZKC,10,solve_ftapas_15,0.00875997543334961,9317,9331
276,NK,20,solve_ftapas_15,0.077301025390625,19147,19147
498,ZKC,15,solve_ftapas_15,0.02505183219909668,11173,11173
479,NK,25,solve_ftapas_15,0.13627386093139648,22266,22266
27,ZKC,25,solve_ftapas_15,0.17221403121948242,25006,25006
437,ZKC,27,solve_ftapas_15,0.20210814476013184,22412,22417
109,ZKC,4,solve_ftapas_15,0.000637054443359375,4424,4424
85,NK,15,solve_ftapas_15,0.0298001766204834,6301,6301
361,ZKC,4,solve_ftapas_15,0.0003249645233154297,4067,4067
496,ZKC,20,solve_ftapas_15,0.07734513282775879,18454,18454
1072,ZKW,4,solve_ftapas_15,0.0005252361297607422,5223,5223
13,NK,10,solve_ftapas_15,0.004519939422607422,8706,8706
439,NK,27,solve_ftapas_15,0.1755080223083496,25081,25081
492,ZKC,25,solve_ftapas_15,0.17530584335327148,25271,25271
478,ZKC,15,solve_ftapas_15,0.03532123565673828,14380,14380
9,NK,22,solve_ftapas_15,0.11596798896789551,26749,26749
243,ZKC,20,solve_ftapas_15,0.09302830696105957,18527,18533
361,NK,10,solve_ftapas_15,0.008004188537597656,11627,11627
283,ZKC,20,solve_ftapas_15,0.09415125846862793,18131,18152
1900,ZKW,10,solve_ftapas_15,0.004549980163574219,6335,6335
1262,ZKW,27,solve_ftapas_15,0.09425878524780273,6783,6783
402,NK,20,solve_ftapas_15,0.06558990478515625,10422,10422
116,ZKC,27,solve_ftapas_15,0.18883609771728516,23049,23049
213,NK,27,solve_ftapas_15,0.16022491455078125,24658,24658
71,ZKC,4,solve_ftapas_15,0.0006139278411865234,2981,2991
261,ZKW,20,solve_ftapas_15,0.03545975685119629,6880,6880
119,NK,10,solve_ftapas_15,0.006501197814941406,10783,10783
109,ZKC,25,solve_ftapas_15,0.15731573104858398,21525,21530
176,NK,25,solve_ftapas_15,0.1552562713623047,27479,27479
298,ZKC,4,solve_ftapas_15,0.0006148815155029297,2904,2904
51,NK,10,solve_ftapas_15,0.008174896240234375,4380,4380
65,ZKC,22,solve_ftapas_15,0.10068130493164062,18341,18341
76,NK,15,solve_ftapas_15,0.03093719482421875,19868,19868
168,NK,22,solve_ftapas_15,0.08718204498291016,6909,6909
1802,ZKW,4,solve_ftapas_15,0.0005888938903808594,2747,2747
474,NK,10,solve_ftapas_15,0.007863044738769531,4909,4909
122,NK,27,solve_ftapas_15,0.17310166358947754,3687,3687
636,ZKW,4,solve_ftapas_15,0.0004830360412597656,2446,2446
53,NK,25,solve_ftapas_15,0.14077305793762207,27107,27107
365,ZKC,22,solve_ftapas_15,0.11156034469604492,19892,19896
739,ZKW,10,solve_ftapas_15,0.0047948360443115234,4085,4085
128,NK,25,solve_ftapas_15,0.14623785018920898,27412,27412
443,ZKC,22,solve_ftapas_15,0.11355018615722656,20396,20396
223,ZKW,10,solve_ftapas_15,0.0029289722442626953,11415,11415
348,NK,25,solve_ftapas_15,0.13572001457214355,27574,27574
268,NK,22,solve_ftapas_15,0.09918379783630371,26742,26742
265,NK,10,solve_ftapas_15,0.00799703598022461,13839,13839
500,NK,4,solve_ftapas_15,0.0006368160247802734,3687,3687
