target,best_score,batch_size,mutation_rate,init_method,runtime
59121,57071,5,0.04,random,3.0005688667297363
25679,24387,5,0.04,random,3.000030040740967
43413,43367,5,0.04,random,3.0005621910095215
37444,35376,5,0.04,random,3.0007429122924805
47488,46768,5,0.04,random,3.00022292137146
50757,49836,5,0.04,random,3.000699043273926
40704,38811,5,0.04,random,3.0007078647613525
45571,43895,5,0.04,random,3.0004491806030273
18186,18186,5,0.04,random,3.000725030899048
41596,40382,5,0.04,random,3.0006117820739746
55841,55288,5,0.04,random,3.0005249977111816
31840,30585,5,0.04,random,3.0005619525909424
43131,41835,5,0.04,random,3.0009219646453857
38758,37790,5,0.04,random,3.0006752014160156
43208,42826,5,0.04,random,3.0006840229034424
50742,50249,5,0.04,random,3.0004210472106934
45119,43950,5,0.04,random,3.000667095184326
39321,38204,5,0.04,random,3.0005099773406982
53207,52532,5,0.04,random,3.000990867614746
46883,46397,5,0.04,random,3.000727891921997
33666,33552,5,0.04,random,3.000654935836792
50603,49907,5,0.04,random,3.000612735748291
43343,42638,5,0.04,random,3.000505208969116
18007,18007,5,0.04,random,3.0001790523529053
27772,26471,5,0.04,random,3.0004680156707764
52258,51816,5,0.04,random,3.000502824783325
55122,54534,5,0.04,random,3.000978946685791
51393,51047,5,0.04,random,3.0000078678131104
56332,55217,5,0.04,random,3.001065969467163
19901,19901,5,0.04,random,3.0007810592651367
53330,52239,5,0.04,random,3.0002939701080322
15470,15470,5,0.04,random,3.0001258850097656
34572,33799,5,0.04,random,3.0004169940948486
25628,24468,5,0.04,random,3.001007080078125
38667,35672,5,0.08,random,3.000667095184326
44321,41903,5,0.08,random,3.0011091232299805
48073,46404,5,0.08,random,3.000458002090454
49784,49563,5,0.08,random,3.0004971027374268
45176,42091,5,0.08,random,3.0002951622009277
35770,32412,5,0.08,random,3.001121997833252
50428,47759,5,0.08,random,3.0006051063537598
47153,47105,5,0.08,random,3.0001308917999268
39180,36251,5,0.08,random,3.0005040168762207
41567,38918,5,0.08,random,3.000969886779785
13813,13813,5,0.08,random,3.000998020172119
33621,31322,5,0.08,random,3.0003621578216553
43182,39959,5,0.08,random,3.0009937286376953
45967,44650,5,0.08,random,3.000369071960449
43222,40351,5,0.08,random,3.001077175140381
46847,44417,5,0.08,random,3.000714063644409
59121,56713,5,0.08,random,3.000189781188965
25679,23759,5,0.08,random,3.000473976135254
43413,41674,5,0.08,random,3.001284122467041
37444,34552,5,0.08,random,3.000868797302246
47488,45614,5,0.08,random,3.000922918319702
50757,47434,5,0.08,random,3.000736951828003
