opcount,elapsed,optimizations,size,itype
65535,0.3773397150000619,set(),15,ZR
29,0.0003699330000017653,"{'residuals', 'weight'}",25,NR
11,9.588700004314887e-05,"{'residuals', 'weight'}",4,ZR
30,0.0001992960000052335,"{'residuals', 'weight'}",10,ZR
67108863,338.5410789129999,set(),25,ZR
3,4.7990000098252494e-05,set(),20,NR
65535,0.29362462900007813,set(),15,ZR
25,0.0001899779999803286,"{'residuals', 'weight'}",15,NR
65535,0.2639679789999718,set(),15,ZR
2097151,10.087908461999973,set(),20,NR
12,6.495800005268393e-05,set(),4,ZR
1,1.0707000001275446e-05,"{'residuals', 'weight'}",4,NR
26,0.00025634999997237173,set(),15,NR
31,0.0002021410000452306,set(),4,ZR
1,1.6114999993988022e-05,"{'residuals', 'weight'}",4,NR
2097151,9.427473969999937,set(),20,ZR
590423,3.0542871879999893,set(),20,ZR
10,0.00011189700001068559,"{'residuals', 'weight'}",20,NR
2,1.9681000026139372e-05,"{'residuals', 'weight'}",4,NR
33554434,176.30053366000004,set(),25,NR
2097151,10.718364512999983,set(),20,NR
8388607,41.0422934930001,set(),22,ZR
7683,0.041177854000011394,"{'residuals', 'weight'}",15,ZR
7,8.138600003348984e-05,"{'residuals', 'weight'}",20,NR
1,1.4802000009694893e-05,"{'residuals', 'weight'}",20,NR
2097151,9.496090633999984,set(),20,NR
8388607,42.826895637999996,set(),22,NR
10,0.00011347399993155705,"{'residuals', 'weight'}",4,NR
8388607,42.27647609399992,set(),22,NR
8896205,62.90823648600008,"{'residuals', 'weight'}",25,ZR
16816,0.07299883199993928,set(),20,ZR
1,1.2786999946001743e-05,"{'residuals', 'weight'}",4,NR
17,0.00010336899993035331,"{'residuals', 'weight'}",4,ZR
8388607,39.714637745999994,set(),22,ZR
3625,0.028652468000018416,"{'residuals', 'weight'}",15,ZR
344973,2.7625890709999794,"{'residuals', 'weight'}",20,ZR
65535,0.31876372500005346,set(),15,ZR
48,0.00028954000003977853,"{'residuals', 'weight'}",10,ZR
3511,0.025748385999918355,"{'residuals', 'weight'}",25,ZR
2047,0.015632629000037923,set(),10,ZR
17,0.00022487800004000746,set(),25,NR
67108863,342.45560203799994,set(),25,ZR
2,4.102000002603745e-05,"{'residuals', 'weight'}",4,NR
388,0.002349056999946697,set(),10,NR
529058,4.558497465999949,set(),22,ZR
14,0.000180262000071707,set(),22,NR
8388607,46.78459597099993,set(),22,NR
595,0.005386324000028253,"{'residuals', 'weight'}",25,ZR
216,0.0015394010000591152,set(),10,ZR
25,0.0003542719999813926,"{'residuals', 'weight'}",10,NR
65535,0.5200947299999825,set(),15,NR
4,0.00172979200010559,"{'residuals', 'weight'}",15,NR
8388607,49.10980396800005,set(),22,ZR
3,6.344400003399642e-05,"{'residuals', 'weight'}",4,ZR
1047,0.006611273000089568,"{'residuals', 'weight'}",22,NR
1,2.9963999850224354e-05,"{'residuals', 'weight'}",15,NR
2047,0.009740156999896499,set(),10,NR
8388607,42.3761224970001,set(),22,NR
67108863,356.18090339800005,set(),25,ZR
1,2.1115999970788835e-05,"{'residuals', 'weight'}",25,NR
8,6.960900009289617e-05,set(),10,ZR
3,5.8498000043982756e-05,"{'residuals', 'weight'}",25,NR
7,8.63000000208558e-05,"{'residuals', 'weight'}",4,NR
1057,0.009639635999974416,"{'residuals', 'weight'}",25,ZR
57,0.0006646150000051421,"{'residuals', 'weight'}",20,ZR
8388607,40.42462278699986,set(),22,ZR
4,6.070500012356206e-05,set(),20,NR
1,3.0667999908473575e-05,"{'residuals', 'weight'}",15,NR
17,0.00020630500011975528,"{'residuals', 'weight'}",4,ZR
482,0.003386667000086163,"{'residuals', 'weight'}",22,ZR
300,0.0023154599998633785,set(),10,ZR
295,0.0029735400000845402,"{'residuals', 'weight'}",15,ZR
4992,0.031253786999968725,set(),22,ZR
1,3.536899998834997e-05,"{'residuals', 'weight'}",20,NR
28,0.0004394770000999415,"{'residuals', 'weight'}",22,ZR
1,3.2353000051443814e-05,"{'residuals', 'weight'}",15,NR
11,0.00017736099994181131,set(),22,NR
8388607,44.88162745699992,set(),22,ZR
2,0.00010494999992261,set(),10,NR
559,0.01246891499999947,"{'residuals', 'weight'}",10,ZR
183717,2.1526531299998624,"{'residuals', 'weight'}",20,ZR
1,2.610299998195842e-05,"{'residuals', 'weight'}",4,NR
8388607,44.78197534300011,set(),22,ZR
433,0.003644732000111617,"{'residuals', 'weight'}",15,NR
4,5.822499997520936e-05,set(),15,NR
67108863,352.27807776500003,set(),25,NR
28,0.0006891109999287437,"{'residuals', 'weight'}",25,ZR
17,0.0001802449999104283,"{'residuals', 'weight'}",4,ZR
3,5.355600001166749e-05,"{'residuals', 'weight'}",4,NR
2047,0.03125220300012188,set(),10,ZR
1,3.185400009897421e-05,"{'residuals', 'weight'}",20,NR
1,2.69479999133182e-05,"{'residuals', 'weight'}",10,NR
6,0.006248639999967054,"{'residuals', 'weight'}",4,ZR
65535,0.5505223589998423,set(),15,NR
18,0.00014922600007594156,set(),4,NR
141,0.009125485999902594,"{'residuals', 'weight'}",10,NR
17,0.000619086999904539,"{'residuals', 'weight'}",10,NR
20,0.0005336149999948248,"{'residuals', 'weight'}",25,ZR
3272,0.023516527000083443,set(),22,ZR
70,0.0006698570000480686,"{'residuals', 'weight'}",10,ZR
19,0.00019430700012890156,"{'residuals', 'weight'}",4,ZR
5,9.798500013857847e-05,"{'residuals', 'weight'}",10,NR
2097151,10.942937647999997,set(),20,ZR
31,0.0002436370000395982,set(),4,NR
45,0.003734271000212175,"{'residuals', 'weight'}",15,NR
581,0.0041339300000799994,set(),10,NR
11,0.0001070039998012362,set(),4,ZR
1481,0.020402484999976878,"{'residuals', 'weight'}",25,NR
1,2.896900014093262e-05,"{'residuals', 'weight'}",10,NR
8,0.00010616099984872562,set(),15,NR
119,0.0013195819999509695,"{'residuals', 'weight'}",10,NR
19,0.00014399899987438403,set(),4,ZR
1,2.8695000082734623e-05,"{'residuals', 'weight'}",20,NR
15,0.0007435039999563742,"{'residuals', 'weight'}",20,ZR
1,0.00011970099990321614,"{'residuals', 'weight'}",20,NR
263,0.0017571280000083789,set(),20,ZR
356,0.003718815999945946,"{'residuals', 'weight'}",15,ZR
65535,0.3268397949998416,set(),15,NR
3,3.3461999919381924e-05,set(),4,NR
8,6.444599989663402e-05,set(),10,NR
