opcount,elapsed,optimizations,size,itype
264717,2.5324386629999935,"{'weight', 'residuals'}",25,ZR
465253,4.6922628030000055,"{'weight', 'residuals'}",20,ZR
12,0.0001372580000236212,{'weight'},4,ZR
155523,1.589514783999988,"{'weight', 'residuals'}",22,NR
35,0.00041358400000035545,{'residuals'},10,NR
1375,0.016526345000016818,{'residuals'},20,NR
416649,4.171380146000018,"{'weight', 'residuals'}",20,ZR
16591,0.16717399099999852,"{'weight', 'residuals'}",15,ZR
7137365,64.944941417,{'residuals'},25,ZR
67,0.0008711060000052839,{'residuals'},25,NR
3,5.274699998381038e-05,{'residuals'},10,NR
5099,0.06027148999999099,"{'weight', 'residuals'}",25,NR
33003541,257.597186442,{'weight'},25,NR
539,0.0038439170000401646,{'weight'},22,NR
8388607,59.03510719900001,set(),22,NR
50,0.0005640549999839095,"{'weight', 'residuals'}",15,ZR
9,0.00021404399996072243,"{'weight', 'residuals'}",22,NR
25,0.0002669609999657041,{'residuals'},4,ZR
6,0.00015079599995715398,{'residuals'},20,NR
51772,0.39013639099999864,{'weight'},25,ZR
601,0.005290843000011591,{'residuals'},20,ZR
14796669,137.38606276000002,{'residuals'},25,ZR
653,0.0056879470000126275,{'residuals'},10,ZR
8357,0.05584382100005314,set(),20,ZR
1769,0.01317757200001779,{'weight'},10,ZR
67108863,481.82075404200003,set(),25,ZR
59506183,486.313493564,{'weight'},25,ZR
1897,0.014746907000017018,{'weight'},10,ZR
1,2.2069000010560558e-05,set(),10,NR
1657,0.02021283400000584,"{'weight', 'residuals'}",22,NR
38867,0.40044644899995774,{'residuals'},20,NR
25,0.0002230279999935192,{'weight'},4,NR
41298,0.32752002800003766,set(),22,ZR
3,4.850099998066071e-05,set(),25,NR
18,0.00020580899996502922,{'weight'},15,ZR
2289,0.02197479200003727,{'residuals'},20,ZR
65535,0.5124051509999958,set(),15,ZR
1283489,11.489596258999995,{'residuals'},22,NR
1821,0.016291564000027847,{'residuals'},10,NR
292965,2.8383903760000067,{'residuals'},25,NR
3,5.139799998232775e-05,set(),15,NR
64917,0.5055726680000134,{'weight'},15,NR
155,0.0014965589999746953,{'weight'},10,NR
16,0.0002703999999766893,{'residuals'},22,NR
9499,0.09045184699999709,"{'weight', 'residuals'}",15,ZR
520,0.0034143149999863454,set(),25,ZR
9,0.00011776999997437088,{'weight'},20,NR
2047,0.013665654000021732,set(),10,NR
1901,0.0138229620000061,{'weight'},10,ZR
8017,0.07669875599998477,"{'weight', 'residuals'}",15,ZR
1145875,8.756697724999981,{'weight'},25,ZR
54411,0.4659701630000086,{'weight'},15,NR
181475,1.3992716919999566,{'weight'},22,ZR
31,0.00033487700000023324,set(),4,NR
242063,2.26997391499998,"{'weight', 'residuals'}",20,ZR
426079,4.016131640000026,{'residuals'},20,ZR
8043015,76.402782522,{'residuals'},25,ZR
10409,0.10713832900000853,"{'weight', 'residuals'}",15,ZR
2642,0.023405944999922212,{'residuals'},20,ZR
4,7.896199997503572e-05,"{'weight', 'residuals'}",15,NR
5289,0.056448367000029975,{'residuals'},22,NR
441,0.0032381359999362758,{'weight'},25,ZR
67108863,480.839506003,set(),25,ZR
60030799,479.106849129,{'weight'},25,ZR
3,5.064399999810121e-05,{'weight'},4,ZR
2047,0.015691968999931305,set(),10,NR
27,0.0002826319999940097,set(),4,ZR
15699,0.1495738700000402,"{'weight', 'residuals'}",15,ZR
29,0.00028704700002890604,{'residuals'},4,NR
1614,0.013914669999962825,{'residuals'},20,ZR
26,0.0002556320000621781,{'weight'},15,ZR
7111,0.07468072300002859,{'residuals'},15,NR
670073,6.845862334000003,"{'weight', 'residuals'}",22,ZR
597389,5.6707339060000095,{'residuals'},20,ZR
25,0.00036794699997244606,{'residuals'},4,ZR
17,0.0001395799999954761,{'weight'},10,NR
331947,3.3325193340000396,"{'weight', 'residuals'}",20,ZR
10,0.00017683999999462685,"{'weight', 'residuals'}",15,NR
1910195,15.098716836999984,{'weight'},20,NR
17,0.00031898899999305286,"{'weight', 'residuals'}",25,NR
18,0.0002244779999500679,{'weight'},25,NR
5545991,55.887340739000024,"{'weight', 'residuals'}",25,ZR
23,0.0003135460000294188,"{'weight', 'residuals'}",15,ZR
224,0.0015217339999935575,set(),20,NR
14457,0.1265754339999603,{'residuals'},15,NR
7146,0.054208774000017,{'weight'},15,ZR
67108863,487.66254512200004,set(),25,ZR
151,0.0017398859999957494,{'residuals'},22,NR
32939,0.36257672099998217,"{'weight', 'residuals'}",22,NR
18,0.0010324849999960861,"{'weight', 'residuals'}",25,NR
1971185,15.45843541499994,{'weight'},20,ZR
2097151,14.772904922999942,set(),20,ZR
4,6.0575000020435255e-05,{'weight'},4,ZR
578,0.003908997000053205,set(),22,ZR
95,0.0007417670000222643,{'weight'},25,ZR
581,0.004044627999974182,set(),10,NR
23111089,203.20985247400006,{'residuals'},25,NR
1965015,15.136715240000058,{'weight'},20,ZR
1255639,11.43299447000004,{'residuals'},22,ZR
921,0.00835143100005098,{'residuals'},10,ZR
8089347,64.35841396299998,{'weight'},22,ZR
1125,0.01237183399996411,"{'weight', 'residuals'}",25,ZR
6,8.78519999787386e-05,{'weight'},10,NR
1832635,16.837786989999927,{'residuals'},22,ZR
25,0.00022892799995588575,{'weight'},4,NR
8,0.00011292399994999869,{'weight'},10,ZR
67108863,473.72136169600003,set(),25,ZR
170,0.0016003539999474015,"{'weight', 'residuals'}",22,ZR
4,5.880000003344321e-05,{'weight'},22,NR
8,0.00016320199995334406,"{'weight', 'residuals'}",25,NR
400,0.0028821410001000913,{'weight'},20,ZR
9782,0.06976095400000304,set(),15,NR
64203729,505.53975859800005,{'weight'},25,ZR
635,0.008567436000021189,{'residuals'},10,NR
180024,1.5995213889999604,{'residuals'},22,NR
465273,4.204542351999976,{'residuals'},20,ZR
10299963,99.05671827600008,"{'weight', 'residuals'}",25,ZR
1037,0.009669996999946306,"{'weight', 'residuals'}",10,ZR
156,0.0013678629999276382,{'residuals'},15,ZR
2,2.6608999974087055e-05,{'weight'},10,NR
8468,0.05607494000003044,set(),15,ZR
2,2.7044999910685874e-05,set(),25,NR
342,0.0034155270000155724,{'residuals'},15,ZR
1342,0.012233992000005856,"{'weight', 'residuals'}",15,ZR
2399,0.02508383099996081,"{'weight', 'residuals'}",22,NR
1934779,14.980395759999965,{'weight'},20,ZR
10,0.00016573000004882488,"{'weight', 'residuals'}",10,ZR
10,0.00017749100004493812,{'residuals'},20,NR
64633225,560.0829566520001,{'residuals'},25,NR
151,0.0013305059999311197,"{'weight', 'residuals'}",22,NR
31,0.0002312309999297213,set(),4,NR
7,0.0001236179999750675,"{'weight', 'residuals'}",10,NR
